Location,Date,Round,player,opponent,player_rank,opponent_rank,player_hand,player_ht,player_nationality,player_age,opponent_hand,opponent_ht,opponent_nationality,opponent_age,win
Queens Club,06/20/2017,Round of 128,Johnson S.,Kozlov S.,25.0,149.0,R,188.0,USA,29.0,R,183.0,USA,26.0,0
Queens Club,06/20/2017,Round of 128,Wawrinka S.,Lopez F.,3.0,32.0,R,183.0,SUI,33.7,L,188.0,ESP,37.4,0
Queens Club,06/20/2017,Round of 128,Tipsarevic J.,Troicki V.,59.0,39.0,R,180.0,SRB,34.5,R,193.0,SRB,32.9,0
Queens Club,06/20/2017,Round of 128,Broady L.,Chardy J.,404.0,80.0,L,183.0,GBR,26.7,R,188.0,FRA,31.8,0
Queens Club,06/20/2017,Round of 128,Murray A.,Thompson J.,1.0,90.0,R,190.0,GBR,31.6,R,183.0,AUS,24.6,0
Queens Club,06/20/2017,Round of 128,Norrie C.,Querrey S.,235.0,28.0,L,188.0,GBR,23.3,R,198.0,USA,31.2,0
Queens Club,06/20/2017,Round of 128,Basilashvili N.,Muller G.,51.0,26.0,R,185.0,GEO,26.8,L,193.0,LUX,41.0,0
Queens Club,06/20/2017,Round of 128,Isner J.,Cilic M.,21.0,7.0,R,206.0,USA,33.7,R,198.0,CRO,30.2,0
Queens Club,06/20/2017,Round of 128,Mahut N.,Medvedev D.,77.0,60.0,R,190.0,FRA,37.0,R,198.0,RUS,22.8,0
Queens Club,06/21/2017,Round of 64,Troicki V.,Young D.,39.0,55.0,R,193.0,SRB,32.9,L,183.0,USA,35.0,0
Queens Club,06/21/2017,Round of 64,Benneteau J.,Dimitrov G.,87.0,11.0,R,185.0,FRA,43.0,R,188.0,BUL,27.6,0
Queens Club,06/21/2017,Round of 64,Shapovalov D.,Berdych T.,193.0,14.0,L,185.0,CAN,19.7,R,196.0,CZE,33.2,0
Queens Club,06/22/2017,Round of 64,Kozlov S.,Cilic M.,149.0,7.0,R,183.0,USA,22.0,R,198.0,CRO,30.2,0
Queens Club,06/22/2017,Round of 64,Thompson J.,Querrey S.,90.0,28.0,R,183.0,AUS,24.6,R,198.0,USA,31.2,0
Queens Club,06/22/2017,Round of 64,Kokkinakis T.,Medvedev D.,698.0,60.0,R,196.0,AUS,22.7,R,198.0,RUS,22.8,0
Queens Club,06/22/2017,Round of 64,Chardy J.,Lopez F.,80.0,32.0,R,188.0,FRA,31.8,L,188.0,ESP,37.4,0
Queens Club,06/23/2017,Quarterfinals,Querrey S.,Muller G.,28.0,26.0,R,198.0,USA,31.2,L,193.0,LUX,41.0,0
Queens Club,06/23/2017,Quarterfinals,Young D.,Cilic M.,55.0,7.0,L,183.0,USA,29.6,R,198.0,CRO,30.2,0
Queens Club,06/23/2017,Quarterfinals,Medvedev D.,Dimitrov G.,60.0,11.0,R,198.0,RUS,22.8,R,188.0,BUL,27.6,0
Queens Club,06/23/2017,Quarterfinals,Berdych T.,Lopez F.,14.0,32.0,R,196.0,CZE,33.2,L,188.0,ESP,37.4,0
Queens Club,06/24/2017,Semifinals,Muller G.,Cilic M.,26.0,7.0,L,193.0,LUX,41.0,R,198.0,CRO,30.2,0
Queens Club,06/24/2017,Semifinals,Dimitrov G.,Lopez F.,11.0,32.0,R,188.0,BUL,27.6,L,188.0,ESP,37.4,0
Queens Club,06/25/2017,The Final,Cilic M.,Lopez F.,7.0,32.0,R,198.0,CRO,30.2,L,188.0,ESP,37.4,0
Antalya,06/25/2017,Round of 128,Istomin D.,Darcis S.,71.0,59.0,R,188.0,UZB,32.3,R,178.0,BEL,34.8,0
Antalya,06/25/2017,Round of 128,Coric B.,Mannarino A.,42.0,62.0,R,188.0,CRO,22.1,L,183.0,FRA,30.6,0
Antalya,06/26/2017,Round of 128,Ebden M.,Sugita Y.,272.0,66.0,R,188.0,AUS,31.1,R,173.0,JPN,31.0,0
Antalya,06/26/2017,Round of 128,Sousa J.,Albot R.,58.0,116.0,R,185.0,POR,29.7,R,175.0,MDA,29.1,0
Antalya,06/26/2017,Round of 128,Basilashvili N.,Baghdatis M.,51.0,79.0,R,185.0,GEO,26.8,R,183.0,CYP,33.6,0
Antalya,06/26/2017,Round of 128,Troicki V.,Berlocq C.,40.0,80.0,R,193.0,SRB,32.9,R,183.0,ARG,41.0,0
Antalya,06/26/2017,Round of 128,Ilkel C.,Safwat M.,253.0,282.0,R,185.0,TUR,23.3,R,183.0,EGY,28.9,0
Antalya,06/27/2017,Round of 128,Harris L.,Tipsarevic J.,257.0,61.0,R,193.0,RSA,21.8,R,180.0,SRB,34.7,0
Antalya,06/27/2017,Round of 128,Majchrzak K.,Seppi A.,279.0,102.0,R,183.0,POL,23.0,R,190.0,ITA,34.8,0
Antalya,06/27/2017,Round of 128,Klizan M.,Ilhan M.,44.0,287.0,L,190.0,SVK,29.4,R,191.0,TUR,37.0,0
Antalya,06/27/2017,Round of 64,Berlocq C.,Baghdatis M.,80.0,79.0,R,183.0,ARG,36.0,R,183.0,CYP,33.6,0
Antalya,06/27/2017,Round of 64,Darcis S.,Verdasco F.,59.0,35.0,R,178.0,BEL,34.8,L,188.0,ESP,35.1,0
Antalya,06/27/2017,Round of 64,Safwat M.,Mannarino A.,282.0,62.0,R,183.0,EGY,28.4,L,183.0,FRA,30.6,0
Antalya,06/27/2017,Round of 64,Thiem D.,Ramanathan R.,8.0,222.0,R,185.0,AUT,25.3,R,188.0,IND,24.1,0
Antalya,06/28/2017,Round of 64,Lorenzi P.,Albot R.,33.0,116.0,R,183.0,ITA,37.0,R,175.0,MDA,29.1,0
Antalya,06/28/2017,Round of 64,Tipsarevic J.,Seppi A.,61.0,102.0,R,180.0,SRB,34.5,R,190.0,ITA,34.8,0
Antalya,06/28/2017,Round of 64,Ilhan M.,Altmaier D.,287.0,252.0,R,191.0,TUR,37.0,R,191.0,GER,22.0,0
Antalya,06/28/2017,Round of 64,Ferrer D.,Sugita Y.,39.0,66.0,R,175.0,ESP,36.7,R,173.0,JPN,31.0,0
Antalya,06/29/2017,Quarterfinals,Ramanathan R.,Baghdatis M.,222.0,79.0,R,188.0,IND,24.1,R,183.0,CYP,33.6,0
Antalya,06/29/2017,Quarterfinals,Altmaier D.,Sugita Y.,252.0,66.0,R,191.0,GER,20.8,R,173.0,JPN,31.0,0
Antalya,06/29/2017,Quarterfinals,Albot R.,Seppi A.,116.0,102.0,R,175.0,MDA,29.1,R,190.0,ITA,34.8,0
Antalya,06/29/2017,Quarterfinals,Verdasco F.,Mannarino A.,35.0,62.0,L,188.0,ESP,35.1,L,183.0,FRA,30.6,0
