Round,player,opponent,player_hand,player_ht,player_age,opponent_hand,opponent_ht,opponent_age,win,player_rank,opponent_rank,is_player_home_country,is_opponent_home_country,year,month,day,dayofweek
Round of 128,Lajovic D.,Robert S.,R,180.0,28.5,R,185.0,39.6,1,23.0,53.0,False,False,2017,1,16,0
Round of 128,Schwartzman D.,Cuevas P.,R,170.0,26.3,R,180.0,33.0,1,9.0,22.0,False,False,2017,1,16,0
Round of 128,Lacko L.,Ramos-Vinolas A.,R,185.0,31.2,L,188.0,36.0,1,71.0,17.0,False,False,2017,1,16,0
Round of 128,Khachanov K.,Mannarino A.,R,198.0,22.6,L,183.0,30.5,1,8.0,22.0,False,False,2017,1,16,0
Round of 128,Lorenzi P.,Duckworth J.,R,183.0,37.1,R,183.0,26.9,1,33.0,84.0,False,False,2017,1,16,0
Round of 128,Rubin N.,Fratangelo B.,R,175.0,23.9,R,183.0,25.4,1,135.0,106.0,True,True,2017,1,16,0
Round of 128,Bublik A.,Pouille L.,R,196.0,21.7,R,185.0,24.8,1,47.0,11.0,False,False,2017,1,16,0
Round of 128,Sela D.,Granollers M.,R,175.0,39.0,R,190.0,32.7,1,67.0,36.0,False,False,2017,1,16,0
Round of 128,Evans D.,Bagnis F.,R,175.0,28.6,L,183.0,28.9,1,28.0,55.0,False,False,2017,1,16,0
Round of 128,Johnson S.,Delbonis F.,R,188.0,29.1,L,190.0,28.2,1,25.0,44.0,True,False,2017,1,16,0
Round of 128,Kyrgios N.,Elias G.,R,193.0,23.6,R,183.0,34.0,1,13.0,77.0,False,False,2017,1,16,0
Round of 128,Wawrinka S.,Klizan M.,R,183.0,33.7,L,190.0,29.4,1,3.0,34.0,False,False,2017,1,16,0
Round of 128,Darcis S.,Groth S.,R,178.0,34.8,R,193.0,37.0,1,38.0,162.0,False,False,2017,1,16,0
Round of 128,Federer R.,Melzer J.,R,185.0,37.4,L,183.0,43.0,1,1.0,191.65349544072947,False,False,2017,1,16,0
Round of 128,Kohlschreiber P.,Basilashvili N.,R,178.0,35.2,R,185.0,26.8,1,22.0,16.0,False,False,2017,1,17,1
Round of 128,Young D.,Fabbiano T.,L,183.0,35.0,R,173.0,29.6,1,42.0,70.0,True,False,2017,1,17,1
Round of 128,Simon G.,Mmoh M.,R,183.0,34.0,R,188.0,20.9,1,23.0,103.0,False,True,2017,1,17,1
Round of 128,Zverev A.,Haase R.,R,198.0,21.7,R,190.0,31.7,1,3.0,35.0,False,False,2017,1,17,1
Round of 128,Berlocq C.,Albot R.,R,183.0,41.0,R,175.0,29.1,1,62.0,39.0,False,False,2017,1,17,1
Round of 128,Nishioka Y.,Bolt A.,L,170.0,23.2,L,183.0,25.9,1,48.0,125.0,False,False,2017,1,17,1
Round of 128,Raonic M.,Brown D.,R,196.0,28.0,R,196.0,34.5,1,3.0,66.0,False,False,2017,1,17,1
Round of 128,Goffin D.,Opelka R.,R,180.0,28.1,R,211.0,21.3,1,7.0,33.0,False,True,2017,1,17,1
Round of 128,Tiafoe F.,Kukushkin M.,R,188.0,20.9,R,183.0,31.0,1,29.0,40.0,True,False,2017,1,17,1
Round of 128,Nadal R.,Mayer F.,L,185.0,32.6,R,191.0,41.0,1,1.0,46.0,False,False,2017,1,17,1
Round of 128,Edmund K.,Giraldo S.,R,188.0,24.1,R,188.0,31.3,1,14.0,90.0,False,False,2017,1,17,1
Round of 128,Baghdatis M.,Youzhny M.,R,183.0,33.6,R,183.0,42.0,1,36.0,57.0,False,False,2017,1,17,1
Round of 128,Muller G.,Fritz T.,L,193.0,41.0,R,193.0,21.1,1,21.0,24.0,False,True,2017,1,17,1
Round of 128,Whittington A.,Pavlasek A.,R,188.0,31.0,R,185.0,30.0,1,194.0,86.0,False,False,2017,1,17,1
Round of 128,Gasquet R.,Mott B.,R,185.0,32.8,R,180.0,28.0,1,18.0,287.0,False,False,2017,1,17,1
Round of 128,Thompson J.,Sousa J.,R,183.0,24.6,R,185.0,29.7,1,43.0,35.0,False,False,2017,1,17,1
Round of 128,Stepanek R.,Tursunov D.,R,185.0,46.0,R,185.0,42.0,1,102.0,254.3504273504273,False,False,2017,1,17,1
Round of 128,Karlovic I.,Zeballos H.,R,208.0,39.8,L,188.0,39.0,1,20.0,49.0,False,False,2017,1,17,1
Round of 128,Escobedo E.,Medvedev D.,R,185.0,24.1,R,198.0,22.8,1,69.0,4.0,True,False,2017,1,17,1
Round of 128,Chung H.,Olivo R.,R,188.0,22.6,R,180.0,27.9,1,21.0,79.0,False,False,2017,1,17,1
